sample_id,timestamp,sensor_thumb,sensor_index,sensor_middle,sensor_ring,sensor_pinky,sensor_accel_x,sensor_accel_y,sensor_accel_z,sensor_gyro_x,sensor_gyro_y,sensor_z,label
af614bed-d070-46f5-adf4-acc5b9dba980_13,45,0,0,0,0,0,-7.25,1.11,8.54,0.04,-0.01,-0.00,5
af614bed-d070-46f5-adf4-acc5b9dba980_13,46,0,0,0,0,0,-7.26,1.10,8.54,0.02,-0.01,-0.00,5
af614bed-d070-46f5-adf4-acc5b9dba980_13,47,0,0,0,0,0,-7.26,1.12,8.54,0.00,-0.01,-0.00,5
af614bed-d070-46f5-adf4-acc5b9dba980_13,48,0,0,0,0,0,-7.27,1.13,8.54,0.00,-0.01,-0.00,5
af614bed-d070-46f5-adf4-acc5b9dba980_13,49,0,0,0,0,0,-7.27,1.12,8.54,0.01,-0.01,-0.00,5
af614bed-d070-46f5-adf4-acc5b9dba980_13,50,0,0,0,0,0,-7.26,1.09,8.54,0.02,-0.01,-0.00,5
af614bed-d070-46f5-adf4-acc5b9dba980_13,51,0,0,0,0,0,-7.26,1.09,8.54,-0.01,-0.01,0.00,5
af614bed-d070-46f5-adf4-acc5b9dba980_13,52,0,0,0,0,0,-7.26,1.11,8.55,-0.03,-0.02,0.00,5
af614bed-d070-46f5-adf4-acc5b9dba980_13,53,0,0,0,0,0,-7.26,1.12,8.55,-0.02,-0.01,-0.00,5
af614bed-d070-46f5-adf4-acc5b9dba980_13,54,0,0,0,0,0,-7.27,1.12,8.54,-0.01,-0.01,-0.00,5
af614bed-d070-46f5-adf4-acc5b9dba980_13,55,0,0,0,0,0,-7.27,1.10,8.53,-0.00,-0.01,-0.00,5
af614bed-d070-46f5-adf4-acc5b9dba980_13,56,0,0,0,0,0,-7.26,1.10,8.53,-0.01,-0.01,0.00,5
af614bed-d070-46f5-adf4-acc5b9dba980_13,57,0,0,0,0,0,-7.26,1.10,8.52,-0.00,-0.01,0.00,5
af614bed-d070-46f5-adf4-acc5b9dba980_13,58,0,0,0,0,0,-7.26,1.11,8.51,-0.00,-0.01,0.00,5
af614bed-d070-46f5-adf4-acc5b9dba980_13,59,0,0,0,0,0,-7.26,1.11,8.50,-0.01,-0.01,0.00,5
af614bed-d070-46f5-adf4-acc5b9dba980_13,60,0,0,0,0,0,-7.26,1.12,8.51,-0.02,-0.01,0.00,5
af614bed-d070-46f5-adf4-acc5b9dba980_13,61,0,0,0,0,0,-7.27,1.14,8.51,-0.02,-0.02,0.00,5
af614bed-d070-46f5-adf4-acc5b9dba980_13,62,0,0,0,0,0,-7.27,1.15,8.51,-0.01,-0.02,0.00,5
af614bed-d070-46f5-adf4-acc5b9dba980_13,63,0,0,0,0,0,-7.28,1.14,8.52,-0.00,-0.02,-0.00,5
af614bed-d070-46f5-adf4-acc5b9dba980_13,64,0,0,0,0,0,-7.27,1.14,8.53,-0.00,-0.02,-0.00,5
af614bed-d070-46f5-adf4-acc5b9dba980_13,65,0,0,0,0,0,-7.28,1.15,8.54,-0.00,-0.02,-0.00,5
af614bed-d070-46f5-adf4-acc5b9dba980_13,66,0,0,0,0,0,-7.28,1.14,8.56,0.01,-0.02,-0.00,5
af614bed-d070-46f5-adf4-acc5b9dba980_13,67,0,0,0,0,0,-7.28,1.14,8.57,0.01,-0.01,-0.00,5
af614bed-d070-46f5-adf4-acc5b9dba980_13,68,0,0,0,0,0,-7.28,1.13,8.58,0.02,-0.01,-0.00,5
af614bed-d070-46f5-adf4-acc5b9dba980_13,69,0,0,0,0,0,-7.28,1.13,8.57,0.01,-0.01,-0.00,5
af614bed-d070-46f5-adf4-acc5b9dba980_13,70,0,0,0,0,0,-7.28,1.13,8.56,0.02,-0.01,-0.00,5
af614bed-d070-46f5-adf4-acc5b9dba980_13,71,0,0,0,0,0,-7.27,1.13,8.55,0.02,-0.01,-0.00,5
af614bed-d070-46f5-adf4-acc5b9dba980_13,72,0,0,0,0,0,-7.26,1.12,8.55,0.02,-0.01,-0.00,5
af614bed-d070-46f5-adf4-acc5b9dba980_13,73,0,0,0,0,0,-7.26,1.12,8.54,0.01,-0.01,-0.00,5
af614bed-d070-46f5-adf4-acc5b9dba980_13,74,0,0,0,0,0,-7.26,1.12,8.54,0.01,-0.01,-0.00,5
af614bed-d070-46f5-adf4-acc5b9dba980_13,75,0,0,0,0,0,-7.26,1.12,8.54,0.01,-0.01,-0.00,5
af614bed-d070-46f5-adf4-acc5b9dba980_13,76,0,0,0,0,0,-7.26,1.13,8.54,0.01,-0.01,-0.00,5
af614bed-d070-46f5-adf4-acc5b9dba980_13,77,0,0,0,0,0,-7.25,1.12,8.54,0.02,-0.01,-0.00,5
af614bed-d070-46f5-adf4-acc5b9dba980_13,78,0,0,0,0,0,-7.25,1.12,8.54,0.01,-0.01,-0.00,5
af614bed-d070-46f5-adf4-acc5b9dba980_13,79,0,0,0,0,0,-7.25,1.12,8.55,0.01,-0.01,0.00,5
af614bed-d070-46f5-adf4-acc5b9dba980_13,80,0,0,0,0,0,-7.25,1.13,8.56,0.01,-0.01,0.00,5
af614bed-d070-46f5-adf4-acc5b9dba980_13,81,0,0,0,0,0,-7.26,1.12,8.57,0.01,-0.01,0.00,5
af614bed-d070-46f5-adf4-acc5b9dba980_13,82,0,0,0,0,0,-7.27,1.12,8.57,0.01,-0.01,0.00,5
af614bed-d070-46f5-adf4-acc5b9dba980_13,83,0,0,0,0,0,-7.27,1.12,8.58,0.01,-0.01,0.00,5
af614bed-d070-46f5-adf4-acc5b9dba980_13,84,0,0,0,0,0,-7.27,1.13,8.57,0.01,-0.01,0.00,5
af614bed-d070-46f5-adf4-acc5b9dba980_13,85,0,0,0,0,0,-7.27,1.14,8.56,0.02,-0.01,0.00,5
af614bed-d070-46f5-adf4-acc5b9dba980_13,86,0,0,0,0,0,-7.27,1.13,8.56,0.02,-0.01,0.00,5
af614bed-d070-46f5-adf4-acc5b9dba980_13,87,0,0,0,0,0,-7.26,1.13,8.56,0.01,-0.01,0.00,5
af614bed-d070-46f5-adf4-acc5b9dba980_13,88,0,0,0,0,0,-7.27,1.14,8.56,0.01,-0.01,0.00,5
af614bed-d070-46f5-adf4-acc5b9dba980_13,89,0,0,0,0,0,-7.27,1.14,8.56,0.01,-0.01,0.00,5
af614bed-d070-46f5-adf4-acc5b9dba980_13,90,0,0,0,0,0,-7.27,1.14,8.55,0.02,-0.00,-0.00,5
af614bed-d070-46f5-adf4-acc5b9dba980_13,91,0,0,0,0,0,-7.26,1.14,8.55,0.01,-0.01,-0.00,5
af614bed-d070-46f5-adf4-acc5b9dba980_13,92,0,0,0,0,0,-7.26,1.13,8.54,0.01,-0.00,-0.00,5
af614bed-d070-46f5-adf4-acc5b9dba980_13,93,0,0,0,0,0,-7.27,1.14,8.54,0.01,-0.00,-0.00,5
af614bed-d070-46f5-adf4-acc5b9dba980_13,94,0,0,0,0,0,-7.27,1.14,8.54,0.01,-0.00,-0.00,5
af614bed-d070-46f5-adf4-acc5b9dba980_13,95,0,0,0,0,0,-7.26,1.14,8.54,0.00,-0.00,-0.00,5
af614bed-d070-46f5-adf4-acc5b9dba980_13,96,0,0,0,0,0,-7.26,1.14,8.54,0.01,-0.01,-0.00,5
af614bed-d070-46f5-adf4-acc5b9dba980_13,97,0,0,0,0,0,-7.26,1.14,8.54,0.01,-0.01,-0.00,5
af614bed-d070-46f5-adf4-acc5b9dba980_13,98,0,0,0,0,0,-7.26,1.13,8.54,0.01,-0.01,-0.00,5
af614bed-d070-46f5-adf4-acc5b9dba980_13,99,0,0,0,0,0,-7.26,1.13,8.54,-0.00,-0.01,-0.00,5
41de5cb7-0e67-4053-8730-a213c841cfc3_14,0,0,0,0,0,0,-7.27,1.12,8.57,-0.00,-0.01,-0.00,5
41de5cb7-0e67-4053-8730-a213c841cfc3_14,1,0,0,0,0,0,-7.27,1.13,8.59,-0.01,-0.02,-0.00,5
41de5cb7-0e67-4053-8730-a213c841cfc3_14,2,0,0,0,0,0,-7.27,1.13,8.61,-0.01,-0.02,-0.00,5
41de5cb7-0e67-4053-8730-a213c841cfc3_14,3,0,0,0,0,0,-7.26,1.13,8.64,0.00,-0.01,-0.00,5
41de5cb7-0e67-4053-8730-a213c841cfc3_14,4,0,0,0,0,0,-7.26,1.12,8.65,0.01,-0.01,-0.00,5
41de5cb7-0e67-4053-8730-a213c841cfc3_14,5,0,0,0,0,0,-7.26,1.12,8.67,-0.00,-0.01,-0.00,5
41de5cb7-0e67-4053-8730-a213c841cfc3_14,6,0,0,0,0,0,-7.26,1.13,8.69,-0.01,-0.01,-0.00,5
41de5cb7-0e67-4053-8730-a213c841cfc3_14,7,0,0,0,0,0,-7.27,1.13,8.71,0.00,-0.01,-0.00,5
41de5cb7-0e67-4053-8730-a213c841cfc3_14,8,0,0,0,0,0,-7.27,1.12,8.73,0.01,-0.01,-0.01,5
41de5cb7-0e67-4053-8730-a213c841cfc3_14,9,0,0,0,0,0,-7.27,1.10,8.75,0.00,-0.01,-0.00,5
41de5cb7-0e67-4053-8730-a213c841cfc3_14,10,0,0,0,0,0,-7.27,1.12,8.75,-0.00,-0.01,-0.00,5
41de5cb7-0e67-4053-8730-a213c841cfc3_14,11,0,0,0,0,0,-7.27,1.11,8.74,0.01,-0.01,-0.01,5
41de5cb7-0e67-4053-8730-a213c841cfc3_14,12,0,0,0,0,0,-7.27,1.10,8.74,0.01,-0.01,-0.01,5
41de5cb7-0e67-4053-8730-a213c841cfc3_14,13,0,0,0,0,0,-7.27,1.10,8.75,-0.00,-0.01,-0.00,5
41de5cb7-0e67-4053-8730-a213c841cfc3_14,14,0,0,0,0,0,-7.28,1.11,8.76,-0.00,-0.01,-0.00,5
41de5cb7-0e67-4053-8730-a213c841cfc3_14,15,0,0,0,0,0,-7.28,1.10,8.76,0.00,-0.01,-0.00,5
41de5cb7-0e67-4053-8730-a213c841cfc3_14,16,0,0,0,0,0,-7.28,1.10,8.76,-0.00,-0.01,-0.00,5
41de5cb7-0e67-4053-8730-a213c841cfc3_14,17,0,0,0,0,0,-7.28,1.11,8.75,-0.01,-0.01,-0.00,5
41de5cb7-0e67-4053-8730-a213c841cfc3_14,18,0,0,0,0,0,-7.28,1.11,8.74,-0.02,-0.02,-0.00,5
41de5cb7-0e67-4053-8730-a213c841cfc3_14,19,0,0,0,0,0,-7.28,1.11,8.74,-0.01,-0.01,-0.01,5
41de5cb7-0e67-4053-8730-a213c841cfc3_14,20,0,0,0,0,0,-7.27,1.08,8.73,-0.02,-0.01,-0.01,5
41de5cb7-0e67-4053-8730-a213c841cfc3_14,21,0,0,0,0,0,-7.27,1.06,8.72,-0.06,-0.02,-0.01,5
41de5cb7-0e67-4053-8730-a213c841cfc3_14,22,0,0,0,0,0,-7.26,1.02,8.68,-0.10,-0.03,-0.01,5
41de5cb7-0e67-4053-8730-a213c841cfc3_14,23,0,0,0,0,0,-7.24,0.96,8.64,-0.20,-0.05,-0.02,5
41de5cb7-0e67-4053-8730-a213c841cfc3_14,24,0,0,0,0,0,-7.24,0.92,8.59,-0.36,-0.08,-0.02,5
41de5cb7-0e67-4053-8730-a213c841cfc3_14,25,0,0,0,0,0,-7.25,0.94,8.57,-0.57,-0.12,-0.02,5
41de5cb7-0e67-4053-8730-a213c841cfc3_14,26,0,0,0,0,0,-7.25,0.98,8.58,-0.77,-0.16,-0.02,5
41de5cb7-0e67-4053-8730-a213c841cfc3_14,27,0,0,0,0,0,-7.27,1.05,8.60,-0.93,-0.20,-0.03,5
41de5cb7-0e67-4053-8730-a213c841cfc3_14,28,0,0,0,0,0,-7.28,1.07,8.64,-1.04,-0.24,-0.04,5
41de5cb7-0e67-4053-8730-a213c841cfc3_14,29,0,0,0,0,0,-7.28,1.08,8.68,-1.15,-0.27,-0.05,5
41de5cb7-0e67-4053-8730-a213c841cfc3_14,30,0,0,0,0,0,-7.29,1.09,8.73,-1.26,-0.30,-0.06,5
41de5cb7-0e67-4053-8730-a213c841cfc3_14,31,0,0,0,0,0,-7.30,1.10,8.78,-1.37,-0.33,-0.07,5
41de5cb7-0e67-4053-8730-a213c841cfc3_14,32,0,0,0,0,0,-7.30,1.14,8.84,-1.48,-0.36,-0.08,5
41de5cb7-0e67-4053-8730-a213c841cfc3_14,33,0,0,0,0,0,-7.32,1.20,8.92,-1.55,-0.37,-0.08,5
41de5cb7-0e67-4053-8730-a213c841cfc3_14,34,0,0,0,0,0,-7.31,1.20,8.99,-1.53,-0.37,-0.10,5
41de5cb7-0e67-4053-8730-a213c841cfc3_14,35,0,0,0,0,0,-7.32,1.17,9.03,-1.48,-0.36,-0.11,5
41de5cb7-0e67-4053-8730-a213c841cfc3_14,36,0,0,0,0,0,-7.31,1.11,9.06,-1.50,-0.35,-0.11,5
41de5cb7-0e67-4053-8730-a213c841cfc3_14,37,0,0,0,0,0,-7.32,1.09,9.11,-1.58,-0.36,-0.11,5
41de5cb7-0e67-4053-8730-a213c841cfc3_14,38,0,0,0,0,0,-7.31,1.09,9.12,-1.63,-0.37,-0.11,5
41de5cb7-0e67-4053-8730-a213c841cfc3_14,39,0,0,0,0,0,-7.32,1.15,9.14,-1.67,-0.39,-0.11,5
41de5cb7-0e67-4053-8730-a213c841cfc3_14,40,0,0,0,0,0,-7.32,1.18,9.13,-1.65,-0.40,-0.11,5
41de5cb7-0e67-4053-8730-a213c841cfc3_14,41,0,0,0,0,0,-7.32,1.16,9.14,-1.58,-0.41,-0.11,5
41de5cb7-0e67-4053-8730-a213c841cfc3_14,42,0,0,0,0,0,-7.32,1.15,9.17,-1.52,-0.42,-0.11,5
41de5cb7-0e67-4053-8730-a213c841cfc3_14,43,0,0,0,0,0,-7.31,1.14,9.19,-1.43,-0.44,-0.10,5
41de5cb7-0e67-4053-8730-a213c841cfc3_14,44,0,0,0,0,0,-7.32,1.16,9.23,-1.35,-0.46,-0.09,5
41de5cb7-0e67-4053-8730-a213c841cfc3_14,45,0,0,0,0,0,-7.30,1.15,9.27,-1.24,-0.47,-0.08,5
41de5cb7-0e67-4053-8730-a213c841cfc3_14,46,0,0,0,0,0,-7.30,1.14,9.33,-1.06,-0.47,-0.08,5
41de5cb7-0e67-4053-8730-a213c841cfc3_14,47,0,0,0,0,0,-7.28,1.08,9.35,-0.87,-0.45,-0.07,5
41de5cb7-0e67-4053-8730-a213c841cfc3_14,48,0,0,0,0,0,-7.29,1.05,9.41,-0.72,-0.44,-0.05,5
41de5cb7-0e67-4053-8730-a213c841cfc3_14,49,0,0,0,0,0,-7.25,0.98,9.46,-0.60,-0.41,-0.04,5
41de5cb7-0e67-4053-8730-a213c841cfc3_14,50,0,0,0,0,0,-7.25,0.96,9.55,-0.51,-0.38,-0.02,5
41de5cb7-0e67-4053-8730-a213c841cfc3_14,51,0,0,0,0,0,-7.26,0.97,9.61,-0.45,-0.36,-0.00,5
41de5cb7-0e67-4053-8730-a213c841cfc3_14,52,0,0,0,0,0,-7.26,0.98,9.67,-0.41,-0.32,0.01,5
41de5cb7-0e67-4053-8730-a213c841cfc3_14,53,0,0,0,0,0,-7.28,1.01,9.73,-0.34,-0.28,0.02,5
41de5cb7-0e67-4053-8730-a213c841cfc3_14,54,0,0,0,0,0,-7.28,1.01,9.81,-0.29,-0.23,0.03,5
